FIPSCode,deathsTotal,deathsTotalMonthly,deathsDiffAbs,deathsDiffPct
36081,72736,72736,0,0
36083,7433,7433,0,0
36085,18670,18670,0,0
36087,11177,11177,0,0
36089,5021,5021,0,0
36091,9557,9557,0,0
36093,7820,7820,0,0
36095,1492,1492,0,0
36097,1026,1024,2,0.011111111111111072
36099,1855,1855,0,0
36101,5143,5143,0,0
36103,62183,62183,0,0
36105,3657,3657,0,0
36107,2393,2393,0,0
36109,3518,3518,0,0
36111,8769,8769,0,0
36113,3665,3665,0,0
36115,3242,3242,0,0
36117,4498,4498,0,0
36119,35999,35999,0,0
36121,1923,1923,0,0
36123,1374,1374,0,0
37001,8544,8544,0,0
37003,2029,2029,0,0
37005,726,609,32,0.27118644067796605
37007,1595,1595,0,0
37009,1706,1706,0,0
37011,1062,1045,9,0.048913043478260976
37013,3054,3054,0,0
37015,1241,1241,0,0
37017,2105,2105,0,0
37019,7400,7400,0,0
37021,13363,13363,0,0
37023,5205,5205,0,0
37025,7955,7955,0,0
37027,4901,4901,0,0
37029,451,157,65,2.9545454545454546
37031,4223,4223,0,0
37033,1391,1391,0,0
37035,8487,8487,0,0
37037,3542,3542,0,0
37039,1924,1924,0,0
37041,991,991,0,0
37043,784,693,25,0.19999999999999996
37045,6186,6186,0,0
37047,3559,3559,0,0
37049,5584,5584,0,0
37051,12987,12987,0,0
37053,1131,1124,7,0.03333333333333344
37055,1774,1774,0,0
37057,9173,9173,0,0
37059,2405,2405,0,0
37061,2748,2748,0,0
37063,10310,10310,0,0
37065,3424,3424,0,0
37067,17230,17230,0,0
37069,3056,3056,0,0
37071,11836,11836,0,0
37073,667,517,41,0.52564102564102555
37075,528,333,48,0.8888888888888888
37077,2773,2773,0,0
37079,1027,1018,9,0.04390243902439028
37081,22582,22582,0,0
37083,3353,3353,0,0
37085,5096,5096,0,0
37087,4043,4043,0,0
37089,7129,7129,0,0
37091,1361,1361,0,0
37093,1742,1742,0,0
37095,331,30,74,Inf
