stateFIPS,state,census_region,census_division,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
30,Montana,West,Mountain,3098,27549,0,23993.199,23482.699999999997,23976,24500,3555.801,3049,3573,4066.3,1,0.14850440771637832,0.12444897959183673,0.14902402402402404,0.1731615206288271,1.1477730794060685,0.9841833440929632,1.1533247256294383,1.3125564880568108,0.883
31,Nebraska,North Central,West North Central,4294,44471,0,40041.758,39259.8,40027.5,40830.1,4429.242,3640.8999999999996,4443.5,5211.2,1,0.1108696651784569,0.08917195898126057,0.111011179987235,0.13273628521763378,1.031495575221239,0.8479040521658128,1.0348160223567768,1.2136003726129483,0.598
32,Nevada,West,Mountain,10299,72524,0,59035.421,57924.5,59037.5,60170,13488.579,12354,13486.5,14599.5,1,0.2287558561142568,0.20531826491607114,0.22843955122086718,0.25204360933003006,1.3096979318380426,1.1995339353335275,1.3094960675793765,1.4175648121176812,1
33,New Hampshire,Northeast,New England,2371,32285,0,29208.69,28624.9,29202.5,29817.600000000002,3076.31,2467.4,3082.5,3660.1,1,0.1055918147984114,0.08274978930676402,0.10555603148581685,0.12786420226957074,1.2974736398144242,1.0406579502319697,1.3000843525938421,1.543694643610291,0.933
34,New Jersey,Northeast,Middle Atlantic,29092,205703,0,178476.222,175311.30000000002,178490,181659.5,27226.778,24043.5,27213,30391.7,1,0.15277999822063518,0.1323547633138803,0.15246232281920555,0.17335847734582466,0.9358853980475732,0.8264643200879968,0.9354117970576104,1.0446755121682938,0.222
35,New Mexico,West,Mountain,7714,53943,0,41730.326,40909.7,41738.5,42530,12212.674,11413,12204.5,13033.300000000001,1,0.29295807969496457,0.26835175170467906,0.29240389586930715,0.3185870350090361,1.5831830438164376,1.479517759917034,1.5821234119782215,1.6895644283121598,1
36,New York,Northeast,Middle Atlantic,66358,439638,0,366081.315,359512.30000000005,366067,372603,73556.685,67035,73571,80125.70000000001,1,0.201170946218611,0.17990998469818922,0.20097687043499363,0.2228733214945098,1.108482549202809,1.0102022363543206,1.1086982730040085,1.207476114409717,0.919
37,North Carolina,South,South Atlantic,26767,257061,0,219858.801,215965.5,219910,223934.30000000002,37202.199,33126.700000000004,37151,41095.5,1,0.16944375248031246,0.14793044244658266,0.16893729339893107,0.19028733807767195,1.3898531400605223,1.2375947995666305,1.38794037434154,1.535304666193447,1
38,North Dakota,North Central,West North Central,2093,17078,0,14735.889,14413,14741,15064.199999999999,2342.111,2013.8000000000002,2337,2665,1,0.159298006937216,0.1336811796902269,0.1585374179901543,0.18490251855963366,1.119021022455805,0.9621595795508838,1.1165790731008123,1.2732919254658386,0.836
39,Ohio,North Central,East North Central,39773,329917,0,282322.298,277289.1,282202,287435.7,47594.702,42481.3,47715,52627.9,1,0.1688135712350194,0.14779409801082385,0.1690810128914749,0.1897943338965751,1.1966585874839715,1.0680939330701733,1.199683202172328,1.3232066980112136,0.975
40,Oklahoma,South,West South Central,15085,113013,0,92946.621,91235.5,92934,94588.4,20066.379,18424.6,20079,21777.5,1,0.21614345327324924,0.1947871009848154,0.2160565564065376,0.23869546427157598,1.330220682797481,1.2213854822671528,1.3310573417301956,1.4436526350679482,1
41,Oregon,West,Pacific,6693,97805,0,86706.484,85076,86656.5,88285.7,11098.516,9519.300000000001,11148.5,12729,1,0.1282335342635503,0.10782380448174406,0.12865163062557305,0.14961916404156284,1.658227401763036,1.4222770058269834,1.6656955027640818,1.9018377409233527,1
42,Pennsylvania,Northeast,Middle Atlantic,42027,351982,0,311286.907,305677.10000000003,311196.5,316847.9,40695.093,35134.1,40785.5,46304.9,1,0.1309576382430668,0.1108863278371303,0.13106027863715897,0.1514830528199372,0.9683083018059818,0.8359887691246104,0.970459466533419,1.1017893259095344,0.372
44,Rhode Island,Northeast,New England,3024,25931,0,23835.262,23359.5,23838.5,24304,2095.738,1627,2092.5,2571.5,1,0.08820343871565439,0.06694371296905859,0.08777817444083258,0.11008369643794558,0.693035052910053,0.5380291005291006,0.6919642857142857,0.8503637566137566,0.01
45,South Carolina,South,South Atlantic,17397,142640,0,117501.902,115319.7,117448,119654.1,25138.098,22985.9,25192,27320.3,1,0.2141914264639582,0.19210290329288052,0.21449492541380014,0.2369092185349786,1.444967408173823,1.3212565384836465,1.448065758464103,1.5704029430361557,1
