UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2022,29,4557108,2314274,2242834,1673779,1606572,369110,362814,34620,33390,155006,158598,6785,6523,74974,74937,1740350,1673022,402889,397661,57221,56063,182879,185732,13500,13130,1812466,1765778,1233877,1188698,343839,339140,19808,19385,150289,153781,4956,4799,59697,59975,1286890,1241889,370764,367090,35618,35474,174113,176932,10255,9981,501808,477056,439902,417874,25271,23674,14812,14005,4717,4817,1829,1724,15277,14962,453460,431133,32125,30571,21603,20589,8766,8800,3245,3149
R,7,2022,30,4661313,2359927,2301386,1708691,1647418,373951,372235,35870,34016,161005,166585,7016,6668,73394,74464,1773427,1712975,405674,405867,58754,56590,188809,194572,13865,13514,1851645,1819492,1263601,1226354,348324,347244,20535,19972,156133,161581,5039,4929,58013,59412,1314716,1278680,373136,373968,36551,35986,179884,185433,10454,10237,508282,481894,445090,421064,25627,24991,15335,14044,4872,5004,1977,1739,15381,15052,458711,434295,32538,31899,22203,20604,8925,9139,3411,3277
R,7,2022,31,4731161,2389700,2341461,1731837,1674823,375707,378244,35799,33384,168690,175512,7669,7081,69998,72417,1792676,1737914,405293,410799,57653,55257,196367,203552,14705,14094,1884769,1868453,1291360,1263469,349278,352414,20288,19681,163472,170171,5567,5279,54804,57439,1338802,1313394,372061,378056,35371,35034,187113,194010,11090,10860,504931,473008,440477,411354,26429,25830,15511,13703,5218,5341,2102,1802,15194,14978,453874,424520,33232,32743,22282,20223,9254,9542,3615,3234
R,7,2022,32,4745078,2394330,2350748,1743159,1684707,369919,376807,35405,32691,172578,180717,7847,7205,65422,68621,1800199,1744604,396809,406961,55765,53850,198940,207244,14446,13810,1890770,1884826,1303141,1279468,343790,350852,19746,19356,167335,175544,5634,5397,51124,54209,1347512,1326626,364312,374315,33789,34122,189894,198245,10832,10651,503560,465922,440018,405239,26129,25955,15659,13335,5243,5173,2213,1808,14298,14412,452687,417978,32497,32646,21976,19728,9046,8999,3614,3159
R,7,2022,33,4611217,2328716,2282501,1703266,1637436,349180,359238,34148,31087,173477,183770,7661,6878,60984,64092,1756410,1693232,373800,386927,53518,50758,198002,209085,13811,13149,1842701,1837143,1278411,1249674,324087,334384,18768,18316,168495,178660,5645,5193,47295,50916,1319462,1293826,342498,355994,31934,32180,189502,200462,10550,10196,486015,445358,424855,387762,25093,24854,15380,12771,4982,5110,2016,1685,13689,13176,436948,399406,31302,30933,21584,18578,8500,8623,3261,2953
R,7,2022,34,4529989,2286753,2243236,1688924,1623810,328866,340562,33681,30567,169755,180504,7663,6847,57864,60946,1739151,1676931,351557,366633,51976,49380,193575,204675,13749,12874,1799484,1801295,1261644,1238545,304725,316241,18144,17696,164940,175681,5545,5171,44486,47961,1300077,1280259,321465,336179,30338,30801,185332,196422,10334,10006,487269,441941,427280,385265,24141,24321,15537,12871,4815,4823,2118,1676,13378,12985,439074,396672,30092,30454,21638,18579,8243,8253,3415,2868
R,7,2022,35,4479661,2265636,2214025,1685874,1610378,317146,330035,32752,29669,167721,178182,7562,6768,54581,58993,1733304,1661807,338529,354951,50415,48369,190025,201546,13192,12516,1782394,1775797,1261010,1227846,293741,306222,17549,17130,162889,173503,5431,5019,41774,46077,1297070,1267860,309328,325119,29348,30035,182011,193566,9946,9590,483242,438228,424864,382532,23405,23813,15203,12539,4832,4679,2131,1749,12807,12916,436234,393947,29201,29832,21067,18334,8014,7980,3246,2926
R,7,2022,36,4489128,2272104,2217024,1700558,1621239,310061,324827,32491,29539,168175,178375,7681,6845,53138,56199,1746669,1669919,330328,348104,49935,47827,189912,200667,13386,12545,1784113,1778852,1271157,1238056,286621,301141,16878,16796,163378,173787,5499,5192,40580,43880,1306177,1275883,301269,318763,28526,29585,181959,192846,10042,9768,487991,438172,429401,383183,23440,23686,15613,12743,4797,4588,2182,1653,12558,12319,440492,394036,29059,29341,21409,18242,7953,7821,3344,2777
R,7,2022,37,4485968,2267395,2218573,1703807,1625594,305416,321510,31766,29317,167712,180142,7575,6759,51119,55251,1748131,1673529,324557,343684,48939,47620,188619,202379,13161,12423,1780232,1780766,1274483,1242549,282572,297974,16423,16646,162974,175616,5361,5120,38419,42861,1307532,1279552,296079,314387,27703,29392,180749,194697,9772,9650,487163,437807,429324,383045,22844,23536,15343,12671,4738,4526,2214,1639,12700,12390,440599,393977,28478,29297,21236,18228,7870,7682,3389,2773
R,7,2022,38,4392240,2216417,2175823,1667723,1594718,293189,312356,31410,28862,167711,179835,7303,6591,49081,53461,1710218,1641029,311337,333221,48155,46928,187928,201648,12646,12205,1740445,1743265,1247987,1215706,271073,289660,16202,16256,162983,175476,5229,4921,36971,41246,1279769,1251261,283894,304958,27267,28774,180178,194069,9447,9404,475972,432558,419736,379012,22116,22696,15208,12606,4728,4359,2074,1670,12110,12215,430449,389768,27443,28263,20888,18154,7750,7579,3199,2801
