year,month,COVIDDeathsUCD,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMeanUCD,ratioLowUCD,ratioMedUCD,ratioUpUCD,probPositiveNCExcessUCD,COVIDDeathsMCD,ratioMeanMCD,ratioLowMCD,ratioMedMCD,ratioUpMCD,probPositiveNCExcessMCD
2021,11,28950,263136,0,218008.228,208837.85,217951,227827,45127.772,35309,45185,54298.15,1,0.20781528084041903,0.15498163079880786,0.20731724674979451,0.26000148215467794,1.5588176856649396,1.2196545768566494,1.5607944732297063,1.8755837651122624,0.999,32266,1.3986168722494263,1.094309799789252,1.4003905039360318,1.68282867414616,0.988
2021,12,41354,293214,0,237577.558,228389.15,237454,248199.35,55636.442,45014.649999999994,55760,64824.85,1,0.23496235821548364,0.18136490083210427,0.2348244292401942,0.2838350686850537,1.3453702664796634,1.0885198529767377,1.3483580790250036,1.5675593654785511,0.99,45555,1.2213026451542093,0.9881385138843156,1.224014927011305,1.4230018658764132,0.943
2022,1,72495,342806,0,254282.081,243252.7,254421.5,265685.3,88523.919,77120.70000000001,88384.5,99553.3,1,0.3490945303510076,0.2902708765396906,0.34739399031623597,0.4092587716354391,1.2211037864680323,1.0638071591144218,1.2191806331471136,1.3732436719773775,0.99,83686,1.0578103744951366,0.9215484071409792,1.0561443969122672,1.1896051908323977,0.773
2022,2,40926,265420,0,223463.044,213930.2,223550.5,232746.49999999997,41956.956,32673.5,41869.5,51489.8,1,0.18856303210596256,0.14038237619732752,0.18729326686151865,0.2406850461997721,1.0251907344964082,0.7983555685872061,1.0230538044275033,1.2581195328153252,0.566,50064,0.8380663950143816,0.652634627676574,0.8363195110258869,1.0284795461808884,0.073
2022,3,10981,242132,0,238153.815,228012.4,238070.5,248451.9,3978.185,-6319.9,4061.5,14119.599999999997,0.74,0.0174298128460472,-0.02543711427986163,0.01706007265369124,0.06192470737180224,0.3622789363445952,-0.575530461706584,0.3698661324105272,1.2858209634823785,0.137,15554,0.25576604088980326,-0.40631991770605624,0.2611225408255111,0.9077793493635076,0.026
2022,4,3662,221398,0,219963.451,210431.1,220023,229799.25,1434.549,-8401.25,1375,10966.899999999998,0.617,0.00724648539357198,-0.03655908309337983,0.00624934740750635,0.05211634755030497,0.3917392135445112,-2.2941698525395955,0.3754778809393774,2.9947842708902237,0.351,6239,0.22993252123737776,-1.3465699631351178,0.22038788267350537,1.7577977239942295,0.21
2022,5,4825,228584,0,217187.593,207672.35,216959.5,226721.65,11396.407,1862.35,11624.5,20911.65,0.975,0.053221661517945953,0.00821425759602513,0.0535791251600904,0.10069539850899448,2.3619496373056994,0.38597927461139897,2.409222797927461,4.3340207253886005,0.871,7598,1.4999219531455643,0.24511055540931825,1.5299420900236904,2.7522571729402476,0.743
2022,6,6238,222156,0,205750.587,196834.05,205673,215661.5,16405.413,6494.5,16483,25321.949999999997,0.996,0.08058225953810963,0.03011432530653358,0.08014177847968253,0.1286461917963797,2.629915517794165,1.0411189483808914,2.642353318371273,4.059305867265149,0.954,9471,1.7321732657586315,0.6857248442614297,1.7403653257311793,2.673630028508077,0.885
2022,7,8923,232908,0,209442.094,200050.15,209368,218434.3,23465.906,14473.7,23540,32857.85,1,0.11286411075719711,0.0662611144711447,0.1124336103551275,0.16424807780526912,2.6298224812282864,1.6220665695393923,2.638126190743024,3.682377003250028,0.995,13287,1.7660800782719952,1.0893128621961317,1.7716565063595997,2.4729321893580183,0.964
2022,8,9338,233130,0,209111.98,199862.65,208889,218424.75,24018.02,14705.250000000002,24241,33267.35,1,0.11566555178119645,0.06732411536769596,0.11604727995153435,0.16645106127693085,2.572073249089741,1.574775112443778,2.595952023988006,3.5625776397515527,0.994,13976,1.7185188895248995,1.0521787349742415,1.7344733829421866,2.3803198340011447,0.961
