"Notes"	"Residence Census Division"	"Residence Census Division Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Division 5: South Atlantic"	"CENS-D5"	"Jan., 2022 (provisional)"	"2022/01"	6893	Not Applicable	Not Applicable
	"Division 5: South Atlantic"	"CENS-D5"	"Feb., 2022 (provisional)"	"2022/02"	3307	Not Applicable	Not Applicable
"Total"	"Division 5: South Atlantic"	"CENS-D5"			79217	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Mar., 2020"	"2020/03"	53	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Apr., 2020"	"2020/04"	320	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"May, 2020"	"2020/05"	351	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Jun., 2020"	"2020/06"	269	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Jul., 2020"	"2020/07"	533	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Aug., 2020"	"2020/08"	582	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Sep., 2020"	"2020/09"	452	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Oct., 2020"	"2020/10"	459	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Nov., 2020"	"2020/11"	870	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Dec., 2020"	"2020/12"	1737	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Jan., 2021 (provisional)"	"2021/01"	1878	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Feb., 2021 (provisional)"	"2021/02"	767	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Mar., 2021 (provisional)"	"2021/03"	399	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Apr., 2021 (provisional)"	"2021/04"	294	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"May, 2021 (provisional)"	"2021/05"	255	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Jun., 2021 (provisional)"	"2021/06"	106	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Jul., 2021 (provisional)"	"2021/07"	194	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Aug., 2021 (provisional)"	"2021/08"	1080	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Sep., 2021 (provisional)"	"2021/09"	1693	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Oct., 2021 (provisional)"	"2021/10"	836	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Nov., 2021 (provisional)"	"2021/11"	384	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Dec., 2021 (provisional)"	"2021/12"	530	Not Applicable	Not Applicable
	"Division 6: East South Central"	"CENS-D6"	"Jan., 2022 (provisional)"	"2022/01"	1423	Not Applicable	Not Applicable
